timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-09T22:58:39.529Z,,session_1757458719073_58cj6j26w,page_visited,User visited home page,,,,,,,home,general-ai
2025-09-09T22:58:40.390Z,,session_1757458719073_58cj6j26w,button_clicked,Get Started button clicked,,,,,,,home,general-ai
2025-09-09T22:58:44.571Z,AVE123,session_1757458719073_58cj6j26w,code_entered,User entered verification code,,,,,,,home,general-ai
2025-09-09T22:58:44.613Z,AVE123,session_1757458719073_58cj6j26w,code_verified,Code verification successful,,,,,,,home,general-ai
2025-09-09T22:58:44.654Z,AVE123,session_1757458719073_58cj6j26w,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-09-09T22:58:45.772Z,AVE123,session_1757458719073_58cj6j26w,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-09-09T22:58:48.105Z,AVE123,session_1757458719073_58cj6j26w,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-09T22:58:48.122Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-09T22:58:48.132Z,AVE123,session_1757458719073_58cj6j26w,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-09T22:58:48.138Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-09T22:58:48.243Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T22:58:48.283Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-09T22:59:27.958Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T22:59:27.988Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-09T22:59:30.157Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T22:59:30.188Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: alcohol_experience,alcohol_experience,Yes,,,,yes,,general-ai
2025-09-09T22:59:32.227Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's do it!"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T22:59:32.265Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: continue_assessment,continue_assessment,"Yes, let's do it!",,,,yes,,general-ai
2025-09-09T22:59:34.734Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""occasionally"",""text"":""Occasionally"",""value"":""occasionally"",""points"":3}",,,,,,occasionally,ai-chatbot,general-ai
2025-09-09T22:59:34.770Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: drinking_frequency,drinking_frequency,Occasionally,,,,occasionally,,general-ai
2025-09-09T22:59:40.483Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""monthly"",""text"":""1–3 times a month"",""value"":""monthly"",""points"":2}",,,,,,monthly,ai-chatbot,general-ai
2025-09-09T22:59:40.519Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: binge_drinking,binge_drinking,1–3 times a month,,,,monthly,,general-ai
2025-09-09T23:00:12.073Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""0_days"",""text"":""0 days"",""value"":""0_days"",""points"":0}",,,,,,0_days,ai-chatbot,general-ai
2025-09-09T23:00:12.110Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: days_per_week,days_per_week,0 days,,,,0_days,,general-ai
2025-09-09T23:00:14.325Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""4_5_drinks"",""text"":""4–5 drinks"",""value"":""4_5_drinks"",""points"":2}",,,,,,4_5_drinks,ai-chatbot,general-ai
2025-09-09T23:00:14.362Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: drinks_per_sitting,drinks_per_sitting,4–5 drinks,,,,4_5_drinks,,general-ai
2025-09-09T23:00:19.167Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:19.197Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: car_ride,car_ride,Yes,,,,yes,,general-ai
2025-09-09T23:00:22.156Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:22.194Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: relax_fit_in,relax_fit_in,Yes,,,,yes,,general-ai
2025-09-09T23:00:24.832Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:24.866Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: alone_use,alone_use,Yes,,,,yes,,general-ai
2025-09-09T23:00:27.192Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:27.228Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: forget_things,forget_things,Yes,,,,yes,,general-ai
2025-09-09T23:00:29.396Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:29.431Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: family_friends_concern,family_friends_concern,Yes,,,,yes,,general-ai
2025-09-09T23:00:31.572Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:00:31.601Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: trouble_using,trouble_using,Yes,,,,yes,,general-ai
2025-09-09T23:00:41.894Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""maybe"",""text"":""Maybe, I'm open to learning more"",""value"":""maybe""}",,,,,,maybe,ai-chatbot,general-ai
2025-09-09T23:00:41.929Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: healthier_habits,healthier_habits,"Maybe, I'm open to learning more",,,,maybe,,general-ai
2025-09-09T23:01:15.900Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""type"":""continue_scenario""}",,,,,,continue_scenario,ai-chatbot,general-ai
2025-09-09T23:01:17.948Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""type"":""continue_question""}",,,,,,continue_question,ai-chatbot,general-ai
2025-09-09T23:01:20.641Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""type"":""continue_scenario""}",,,,,,continue_scenario,ai-chatbot,general-ai
2025-09-09T23:01:22.757Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""type"":""continue_question""}",,,,,,continue_question,ai-chatbot,general-ai
2025-09-09T23:03:14.230Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-09T23:03:14.236Z,AVE123,session_1757458719073_58cj6j26w,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-09T23:03:27.406Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:03:27.451Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-09T23:03:29.456Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:03:29.483Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-09T23:03:31.420Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:03:31.446Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: alcohol_experience,alcohol_experience,Yes,,,,yes,,general-ai
2025-09-09T23:03:33.535Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's do it!"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:03:33.568Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: continue_assessment,continue_assessment,"Yes, let's do it!",,,,yes,,general-ai
2025-09-09T23:03:36.478Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""occasionally"",""text"":""Occasionally"",""value"":""occasionally"",""points"":3}",,,,,,occasionally,ai-chatbot,general-ai
2025-09-09T23:03:36.513Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: drinking_frequency,drinking_frequency,Occasionally,,,,occasionally,,general-ai
2025-09-09T23:03:39.156Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""monthly"",""text"":""1–3 times a month"",""value"":""monthly"",""points"":2}",,,,,,monthly,ai-chatbot,general-ai
2025-09-09T23:03:39.195Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: binge_drinking,binge_drinking,1–3 times a month,,,,monthly,,general-ai
2025-09-09T23:03:42.986Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""1_2_days"",""text"":""1–2 days"",""value"":""1_2_days"",""points"":1}",,,,,,1_2_days,ai-chatbot,general-ai
2025-09-09T23:03:43.012Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: days_per_week,days_per_week,1–2 days,,,,1_2_days,,general-ai
2025-09-09T23:05:33.408Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""2_3_drinks"",""text"":""2–3 drinks"",""value"":""2_3_drinks"",""points"":1}",,,,,,2_3_drinks,ai-chatbot,general-ai
2025-09-09T23:05:33.437Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: drinks_per_sitting,drinks_per_sitting,2–3 drinks,,,,2_3_drinks,,general-ai
2025-09-09T23:05:38.275Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:05:38.301Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: car_ride,car_ride,Yes,,,,yes,,general-ai
2025-09-09T23:05:42.351Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:05:42.379Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: relax_fit_in,relax_fit_in,Yes,,,,yes,,general-ai
2025-09-09T23:06:09.479Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:06:09.518Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: alone_use,alone_use,Yes,,,,yes,,general-ai
2025-09-09T23:06:12.123Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:06:12.151Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: forget_things,forget_things,Yes,,,,yes,,general-ai
2025-09-09T23:06:14.407Z,AVE123,session_1757458719073_58cj6j26w,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-09T23:06:14.434Z,AVE123,session_1757458719073_58cj6j26w,questionnaire_option_selected,Question: family_friends_concern,family_friends_concern,Yes,,,,yes,,general-ai
