timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-24T01:51:17.839Z,ADW123,session_1758678671363_3wrsxnyp3,code_entered,User entered verification code,,,,,,,home,general-ai
2025-09-24T01:51:17.912Z,ADW123,session_1758678671363_3wrsxnyp3,code_verified,Code verification successful,,,,,,,home,general-ai
2025-09-24T01:51:18.003Z,ADW123,session_1758678671363_3wrsxnyp3,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-09-24T01:51:19.190Z,ADW123,session_1758678671363_3wrsxnyp3,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-09-24T01:51:19.645Z,ADW123,session_1758678671363_3wrsxnyp3,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:51:19.684Z,ADW123,session_1758678671363_3wrsxnyp3,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:51:19.705Z,ADW123,session_1758678671363_3wrsxnyp3,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:51:19.722Z,ADW123,session_1758678671363_3wrsxnyp3,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:51:20.555Z,ADW123,session_1758678671363_3wrsxnyp3,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:51:20.606Z,ADW123,session_1758678671363_3wrsxnyp3,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T01:51:22.408Z,ADW123,session_1758678671363_3wrsxnyp3,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:51:22.462Z,ADW123,session_1758678671363_3wrsxnyp3,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
