timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-24T00:57:32.364Z,AFE123,session_1758675429384_r8rq2y8t7,code_entered,User entered verification code,,,,,,,home,general-ai
2025-09-24T00:57:32.403Z,AFE123,session_1758675429384_r8rq2y8t7,code_verified,Code verification successful,,,,,,,home,general-ai
2025-09-24T00:57:32.446Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-09-24T00:57:33.146Z,AFE123,session_1758675429384_r8rq2y8t7,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-09-24T00:57:33.336Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:33.342Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:33.354Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:33.361Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:38.280Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T00:57:38.330Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T00:58:41.260Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:58:41.269Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:58:42.576Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:58:42.588Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:59:34.443Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T00:59:34.601Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T01:00:16.041Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:00:16.057Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:00:31.926Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:00:31.969Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:00:32.966Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:00:33.017Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T01:00:35.153Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:00:35.249Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-24T01:00:59.639Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:00:59.647Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:01:00.208Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:01:00.312Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T01:01:02.260Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:01:02.294Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-24T01:01:04.823Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:01:04.887Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: alcohol_experience,alcohol_experience,Yes,,,,yes,,general-ai
2025-09-24T01:01:07.063Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's do it!"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T01:01:07.108Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: continue_assessment,continue_assessment,"Yes, let's do it!",,,,yes,,general-ai
2025-09-24T01:01:09.563Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""rarely"",""text"":""Rarely"",""value"":""rarely"",""points"":2}",,,,,,rarely,ai-chatbot,general-ai
2025-09-24T01:01:09.630Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_option_selected,Question: drinking_frequency,drinking_frequency,Rarely,,,,rarely,,general-ai
2025-09-24T01:01:23.085Z,AFE123,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T01:01:23.095Z,AFE123,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T01:01:23.640Z,AFE123,session_1758675429384_r8rq2y8t7,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
