timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-10-09T21:16:05.405Z,BCCBOT,session_1760044560686_2iwfmjyeh,code_entered,User entered verification code,,,,,,,home,general-ai
2025-10-09T21:16:05.467Z,BCCBOT,session_1760044560686_2iwfmjyeh,code_verified,Code verification successful,,,,,,,home,general-ai
2025-10-09T21:16:05.523Z,BCCBOT,session_1760044560686_2iwfmjyeh,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-10-09T21:16:06.217Z,BCCBOT,session_1760044560686_2iwfmjyeh,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-10-09T21:16:06.555Z,BCCBOT,session_1760044560686_2iwfmjyeh,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-10-09T21:16:06.562Z,BCCBOT,session_1760044560686_2iwfmjyeh,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-10-09T21:18:10.951Z,BCCBOT,session_1760044577027_gd6y5ulov,code_entered,User entered verification code,,,,,,,home,general-ai
2025-10-09T21:18:11.013Z,BCCBOT,session_1760044577027_gd6y5ulov,code_verified,Code verification successful,,,,,,,home,general-ai
2025-10-09T21:18:11.078Z,BCCBOT,session_1760044577027_gd6y5ulov,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-10-27T05:31:54.655Z,BCCBOT,session_1761543103839_jha94y1jh,code_entered,User entered verification code,,,,,,,home,general-ai
2025-10-27T05:31:54.776Z,BCCBOT,session_1761543103839_jha94y1jh,code_verified,Code verification successful,,,,,,,home,general-ai
2025-10-27T05:31:54.880Z,BCCBOT,session_1761543103839_jha94y1jh,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-10-27T05:31:56.300Z,BCCBOT,session_1761543103839_jha94y1jh,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-10-27T05:31:57.261Z,BCCBOT,session_1761543103839_jha94y1jh,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-10-27T05:31:57.267Z,BCCBOT,session_1761543103839_jha94y1jh,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-10-27T05:32:07.924Z,BCCBOT,session_1761543103839_jha94y1jh,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-10-27T05:32:08.048Z,BCCBOT,session_1761543103839_jha94y1jh,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
