timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-24T00:53:33.564Z,,session_1758675212645_awm3bgpgz,page_visited,User visited home page,,,,,,,home,general-ai
2025-09-24T00:53:33.915Z,,session_1758675212645_awm3bgpgz,button_clicked,Get Started button clicked,,,,,,,home,general-ai
2025-09-24T00:57:05.204Z,,session_1758675425110_vtijutex5,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:05.239Z,,session_1758675425110_vtijutex5,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:09.488Z,,session_1758675429384_r8rq2y8t7,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:09.495Z,,session_1758675429384_r8rq2y8t7,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:14.316Z,,session_1758675429384_r8rq2y8t7,page_visited,User visited home page,,,,,,,home,general-ai
2025-09-24T00:57:15.109Z,,session_1758675429384_r8rq2y8t7,button_clicked,Get Started button clicked,,,,,,,home,general-ai
2025-09-24T00:57:56.593Z,,session_1758675476498_i743bmwtq,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:56.599Z,,session_1758675476498_i743bmwtq,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:57:57.304Z,,session_1758675476498_i743bmwtq,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T00:57:57.387Z,,session_1758675476498_i743bmwtq,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T01:51:11.485Z,,session_1758678671363_3wrsxnyp3,page_visited,User visited home page,,,,,,,home,general-ai
2025-09-24T01:51:12.692Z,,session_1758678671363_3wrsxnyp3,button_clicked,Get Started button clicked,,,,,,,home,general-ai
2025-09-24T02:25:58.910Z,,session_1758680758782_ekiou55cw,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T02:25:58.962Z,,session_1758680758782_ekiou55cw,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T02:26:06.871Z,,session_1758680758782_ekiou55cw,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T02:26:06.881Z,,session_1758680758782_ekiou55cw,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T02:26:08.215Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:08.264Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T02:26:10.738Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:10.793Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-24T02:26:12.896Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:12.966Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: alcohol_experience,alcohol_experience,Yes,,,,yes,,general-ai
2025-09-24T02:26:15.017Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's do it!"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:15.074Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: continue_assessment,continue_assessment,"Yes, let's do it!",,,,yes,,general-ai
2025-09-24T02:26:17.178Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""never"",""text"":""Never"",""value"":""never"",""points"":0}",,,,,,never,ai-chatbot,general-ai
2025-09-24T02:26:17.234Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: drinking_frequency,drinking_frequency,Never,,,,never,,general-ai
2025-09-24T02:26:21.350Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:21.410Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: car_ride,car_ride,Yes,,,,yes,,general-ai
2025-09-24T02:26:23.393Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T02:26:23.443Z,,session_1758680758782_ekiou55cw,questionnaire_option_selected,Question: relax_fit_in,relax_fit_in,Yes,,,,yes,,general-ai
2025-09-24T02:26:25.441Z,,session_1758680758782_ekiou55cw,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes"",""points"":1}",,,,,,yes,ai-chatbot,general-ai
